CODGEO;LIBGEO;Abstention;La France Insoumise;Parti Communiste;PS - Place Publique;Les Écologistes;Renaissance;Les Républicains;Reconquête;Rassemblement National;Parti Animaliste;Divers
01390;Saint-Vulbas;389;12;8;21;12;45;38;34;282;10;39
01391;Salavre;103;8;2;14;9;15;18;10;60;3;21
01392;Samognat;181;12;5;16;17;35;23;19;125;7;22
01393;Sandrans;168;8;2;22;14;35;26;28;136;5;18
01396;Sault-Brénaz;268;17;9;17;5;53;15;20;133;4;19
01397;Sauverny;324;18;3;44;21;83;25;25;80;3;26
01398;Savigneux;433;17;6;55;17;102;47;18;268;11;48
01399;Ségny;660;61;2;81;47;111;50;34;151;18;69
01400;Seillonnaz;24;5;3;7;3;10;20;7;25;3;2
01401;Sergy;483;49;3;97;45;157;42;23;142;18;62
01402;Sermoyer;233;7;5;39;6;23;13;17;122;6;16
01403;Serrières-de-Briord;479;37;21;53;9;66;20;13;220;14;41
01404;Serrières-sur-Ain;50;4;0;14;4;5;4;6;31;2;8
01405;Servas;351;27;7;33;15;63;23;34;193;12;47
01406;Servignat;49;1;2;10;3;11;5;6;33;4;7
01407;Seyssel;338;31;3;41;24;42;28;19;109;4;34
01408;Simandre-sur-Suran;234;39;3;43;18;33;19;18;109;5;38
01410;Sonthonnax-la-Montagne;71;7;7;27;8;14;8;5;69;2;10
01411;Souclin;68;7;0;8;0;15;8;3;71;5;9
01412;Sulignat;193;9;2;24;9;39;17;14;110;4;16
01415;Talissieu;125;4;7;18;10;24;12;11;64;8;8
01416;Tenay;312;20;9;30;13;34;10;17;125;8;28
01418;Thil;370;44;8;78;26;80;46;33;213;12;38
01419;Thoiry;1767;137;23;287;143;386;132;100;402;37;146
01420;Thoissey;531;31;9;52;17;63;30;30;218;9;43
01421;Torcieu;224;23;7;32;2;40;10;19;161;6;14
01422;Tossiat;433;24;13;73;38;95;53;43;261;13;52
01423;Toussieux;299;38;10;54;47;73;30;33;176;10;42
01424;Tramoyes;544;37;11;109;59;157;88;74;315;13;44
01425;La Tranclière;81;6;1;18;5;14;14;6;72;1;14
01426;Val-Revermont;757;68;17;151;73;150;76;52;400;20;116
01427;Trévoux;1920;197;37;357;136;378;173;111;626;41;189
01428;Valeins;32;5;0;3;1;10;8;1;37;1;4
01429;Vandeins;199;4;5;19;10;28;16;20;144;5;30
01430;Varambon;165;14;3;31;8;26;11;23;97;5;23
