CODGEO;LIBGEO;Abstention;Extrême-Gauche;NUPES;Divers Gauche;Ensemble;Divers Droite;Droite souverainiste;LR;RN;Reconquête;Divers
28010;Argenvilliers;118.0;0.0;20.0;0.0;59.0;0.0;2.0;19.0;44.0;6.0;9.0
28016;Les Autels-Villevillon;39.0;1.0;11.0;0.0;24.0;0.0;1.0;13.0;24.0;6.0;4.0
28018;Authon-du-Perche;569.0;0.0;48.0;5.0;172.0;0.0;3.0;79.0;158.0;20.0;24.0
28021;Bailleau-le-Pin;676.0;6.0;91.0;6.0;134.0;0.0;14.0;47.0;173.0;12.0;20.0
28022;Bailleau-l'Evêque;466.0;1.0;75.0;1.0;125.0;0.0;6.0;59.0;115.0;24.0;19.0
28027;La Bazoche-Gouet;462.0;1.0;40.0;3.0;77.0;0.0;5.0;191.0;140.0;13.0;17.0
28031;Beaumont-les-Autels;129.0;1.0;26.0;1.0;57.0;0.0;1.0;21.0;48.0;2.0;6.0
28033;Belhomert-Guéhouville;329.0;5.0;43.0;5.0;79.0;0.0;6.0;10.0;78.0;9.0;12.0
28038;Béthonvilliers;39.0;0.0;7.0;0.0;13.0;0.0;1.0;8.0;17.0;0.0;3.0
28040;Billancelles;101.0;3.0;19.0;1.0;35.0;0.0;1.0;3.0;36.0;7.0;5.0
28041;Blandainville;57.0;0.0;16.0;0.0;48.0;0.0;1.0;0.0;18.0;6.0;4.0
28048;La Bourdinière-Saint-Loup;279.0;2.0;39.0;3.0;83.0;0.0;3.0;23.0;70.0;1.0;12.0
28067;Cernay;37.0;0.0;4.0;1.0;8.0;0.0;1.0;4.0;11.0;1.0;1.0
28071;Champrond-en-Gâtine;256.0;0.0;32.0;4.0;42.0;0.0;5.0;12.0;68.0;7.0;13.0
28072;Champrond-en-Perchet;169.0;1.0;29.0;1.0;56.0;0.0;0.0;5.0;56.0;1.0;9.0
28078;Chapelle-Guillaume;63.0;0.0;2.0;3.0;17.0;0.0;1.0;22.0;27.0;1.0;5.0
28079;Chapelle-Royale;105.0;0.0;25.0;2.0;54.0;0.0;0.0;14.0;38.0;4.0;5.0
