CODGEO;LIBGEO;Abstention;Arthaud;Roussel;Macron;Lassalle;Le Pen;Zemmour;Mélenchon;Hidalgo;Jadot;Pécresse;Poutou;Dupont-Aignan
01054;Bourg-Saint-Christophe;153;4;20;244;30;252;87;135;23;37;41;5;26
01056;Boyeux-Saint-Jérôme;58;2;4;57;12;74;25;49;1;6;17;0;12
01057;Boz;74;0;8;66;15;120;8;57;5;8;10;5;8
01058;Brégnier-Cordon;160;6;10;121;11;140;22;95;11;27;16;6;14
01060;Brénod;79;2;5;101;33;81;21;60;3;14;21;2;8
01061;Brens;174;1;7;191;22;211;66;132;9;42;37;7;34
01062;Bressolles;99;4;5;194;37;110;52;73;8;38;42;5;18
01063;Brion;82;1;6;99;8;90;28;43;10;14;28;1;3
01064;Briord;190;6;6;93;19;241;61;90;12;25;13;5;22
01065;Buellas;215;5;23;355;43;298;96;152;19;68;66;6;30
01066;La Burbanche;20;0;2;13;3;10;13;21;2;1;4;0;2
01067;Ceignes;43;1;4;41;7;49;14;20;2;8;5;0;8
01068;Cerdon;129;0;8;58;28;150;53;62;2;11;26;7;16
01069;Certines;223;7;20;223;27;273;84;144;17;40;41;8;32
01071;Cessy;625;7;18;832;75;391;172;311;35;139;129;18;77
01072;Ceyzériat;496;6;38;568;71;403;128;327;39;104;128;13;38
01073;Ceyzérieu;168;4;30;166;24;162;69;150;17;41;25;6;18
01074;Chalamont;403;8;17;329;44;481;124;163;17;52;63;11;35
01075;Chaleins;195;3;22;250;16;210;67;110;8;22;27;6;20
01076;Chaley;44;0;4;15;1;22;7;15;1;7;4;1;6
01077;Challes-la-Montagne;24;0;4;29;9;28;15;17;0;3;9;3;1
01078;Challex;195;2;3;196;26;107;49;111;9;53;33;3;20
01079;Champagne-en-Valromey;133;5;11;102;21;89;16;102;4;21;22;0;23
01080;Champdor-Corcelles;126;3;12;89;25;109;30;79;11;13;20;2;12
01081;Champfromier;102;1;7;90;29;109;34;76;5;14;18;12;11
01082;Chanay;66;2;4;62;8;77;16;58;6;15;11;6;11
01083;Chaneins;153;5;5;142;18;222;70;67;2;26;27;7;19
01084;Chanoz-Châtenay;118;2;9;154;11;161;45;58;6;14;34;3;18
01085;La Chapelle-du-Châtelard;58;1;2;53;9;91;20;25;3;16;13;2;7
01087;Charix;39;1;7;42;15;36;12;30;4;7;11;2;4
01088;Charnoz-sur-Ain;123;4;10;138;15;220;87;64;10;29;30;7;18
01089;Château-Gaillard;323;5;24;296;23;399;95;194;19;45;55;4;37
01090;Châtenay;34;3;5;58;10;61;20;28;1;9;13;2;6
01092;Châtillon-la-Palud;259;8;20;212;35;307;84;181;24;55;53;8;24
01093;Châtillon-sur-Chalaronne;907;16;46;846;80;760;262;313;51;115;179;14;75
01094;Chavannes-sur-Reyssouze;116;0;11;108;26;169;26;41;4;9;21;4;13
01095;Nivigne et Suran;96;2;13;100;19;131;33;106;8;16;28;6;17
01096;Chaveyriat;150;3;10;149;15;211;47;77;11;31;25;5;20
01098;Chazey-Bons;172;2;14;152;23;178;46;102;12;23;21;3;18
01099;Chazey-sur-Ain;212;5;20;242;38;305;75;133;19;59;42;7;31
01100;Cheignieu-la-Balme;19;1;6;21;5;31;6;15;0;5;5;1;2
01101;Chevillard;22;1;2;25;3;35;8;22;2;7;4;1;9
01102;Chevroux;134;0;12;117;18;221;28;47;10;11;41;1;8
